areaCode,areaName,areaType,date,age,rate,value
E92000001,England,nation,2020-07-21,85+,1750.6,24621
E92000001,England,nation,2020-07-21,65_to_84,513.3,46490
E92000001,England,nation,2020-07-20,18_to_64,103.7,35265
E92000001,England,nation,2020-07-20,0_to_5,16.6,653
E92000001,England,nation,2020-07-20,6_to_17,7.3,596
E92000001,England,nation,2020-07-20,85+,1749.3,24603
E92000001,England,nation,2020-07-20,65_to_84,512.9,46460
E92000001,England,nation,2020-07-19,18_to_64,103.6,35227
E92000001,England,nation,2020-07-19,0_to_5,16.6,651
E92000001,England,nation,2020-07-19,6_to_17,7.3,595
E92000001,England,nation,2020-07-19,85+,1748.1,24586
E92000001,England,nation,2020-07-19,65_to_84,512.6,46432
E92000001,England,nation,2020-07-18,18_to_64,103.5,35190
E92000001,England,nation,2020-07-18,0_to_5,16.5,650
E92000001,England,nation,2020-07-18,6_to_17,7.3,594
E92000001,England,nation,2020-07-18,85+,1747.1,24572
E92000001,England,nation,2020-07-18,65_to_84,512.4,46413
E92000001,England,nation,2020-07-17,18_to_64,103.5,35169
E92000001,England,nation,2020-07-17,0_to_5,16.5,647
E92000001,England,nation,2020-07-17,6_to_17,7.3,593
E92000001,England,nation,2020-07-17,85+,1746.7,24566
E92000001,England,nation,2020-07-17,65_to_84,512.2,46396
E92000001,England,nation,2020-07-16,18_to_64,103.4,35144
E92000001,England,nation,2020-07-16,0_to_5,16.4,646
E92000001,England,nation,2020-07-16,6_to_17,7.2,591
E92000001,England,nation,2020-07-16,85+,1745.4,24547
E92000001,England,nation,2020-07-16,65_to_84,511.8,46360
E92000001,England,nation,2020-07-15,18_to_64,103.3,35106
E92000001,England,nation,2020-07-15,0_to_5,16.4,643
E92000001,England,nation,2020-07-15,6_to_17,7.2,589
E92000001,England,nation,2020-07-15,85+,1744.2,24531
E92000001,England,nation,2020-07-15,65_to_84,511.2,46305
E92000001,England,nation,2020-07-14,18_to_64,103.2,35070
E92000001,England,nation,2020-07-14,0_to_5,16.4,643
E92000001,England,nation,2020-07-14,6_to_17,7.1,583
E92000001,England,nation,2020-07-14,85+,1742.2,24502
E92000001,England,nation,2020-07-14,65_to_84,510.7,46260
E92000001,England,nation,2020-07-13,18_to_64,103.0,35024
E92000001,England,nation,2020-07-13,0_to_5,16.3,642
E92000001,England,nation,2020-07-13,6_to_17,7.1,582
E92000001,England,nation,2020-07-13,85+,1740.3,24476
E92000001,England,nation,2020-07-13,65_to_84,510.2,46212
E92000001,England,nation,2020-07-12,18_to_64,102.9,34979
E92000001,England,nation,2020-07-12,0_to_5,16.2,638
E92000001,England,nation,2020-07-12,6_to_17,7.1,579
E92000001,England,nation,2020-07-12,85+,1738.3,24447
E92000001,England,nation,2020-07-12,65_to_84,509.6,46156
E92000001,England,nation,2020-07-11,18_to_64,102.8,34951
E92000001,England,nation,2020-07-11,0_to_5,16.1,633
E92000001,England,nation,2020-07-11,6_to_17,7.1,578
E92000001,England,nation,2020-07-11,85+,1737.6,24438
E92000001,England,nation,2020-07-11,65_to_84,509.3,46127
E92000001,England,nation,2020-07-10,18_to_64,102.7,34920
E92000001,England,nation,2020-07-10,0_to_5,16.1,631
E92000001,England,nation,2020-07-10,6_to_17,7.1,576
E92000001,England,nation,2020-07-10,85+,1736.2,24418
E92000001,England,nation,2020-07-10,65_to_84,508.8,46085
E92000001,England,nation,2020-07-09,18_to_64,102.6,34880
E92000001,England,nation,2020-07-09,0_to_5,16.0,630
E92000001,England,nation,2020-07-09,6_to_17,7.0,575
E92000001,England,nation,2020-07-09,85+,1734.4,24393
E92000001,England,nation,2020-07-09,65_to_84,508.4,46048
E92000001,England,nation,2020-07-08,18_to_64,102.5,34831
E92000001,England,nation,2020-07-08,0_to_5,16.0,628
E92000001,England,nation,2020-07-08,6_to_17,7.0,573
E92000001,England,nation,2020-07-08,85+,1732.5,24366
E92000001,England,nation,2020-07-08,65_to_84,507.8,45992
E92000001,England,nation,2020-07-07,18_to_64,102.3,34782
E92000001,England,nation,2020-07-07,0_to_5,15.9,625
E92000001,England,nation,2020-07-07,6_to_17,7.0,572
E92000001,England,nation,2020-07-07,85+,1730.4,24336
E92000001,England,nation,2020-07-07,65_to_84,507.1,45934
E92000001,England,nation,2020-07-06,18_to_64,102.1,34721
E92000001,England,nation,2020-07-06,0_to_5,15.9,625
E92000001,England,nation,2020-07-06,6_to_17,7.0,571
E92000001,England,nation,2020-07-06,85+,1727.9,24302
E92000001,England,nation,2020-07-06,65_to_84,506.6,45882
E92000001,England,nation,2020-07-05,18_to_64,102.0,34662
E92000001,England,nation,2020-07-05,0_to_5,15.9,624
E92000001,England,nation,2020-07-05,6_to_17,7.0,570
E92000001,England,nation,2020-07-05,85+,1725.0,24261
E92000001,England,nation,2020-07-05,65_to_84,506.0,45834
E92000001,England,nation,2020-07-04,18_to_64,101.9,34623
E92000001,England,nation,2020-07-04,0_to_5,15.9,623
E92000001,England,nation,2020-07-04,6_to_17,7.0,570
E92000001,England,nation,2020-07-04,85+,1722.6,24227
E92000001,England,nation,2020-07-04,65_to_84,505.4,45777
E92000001,England,nation,2020-07-03,18_to_64,101.7,34584
E92000001,England,nation,2020-07-03,0_to_5,15.8,620
E92000001,England,nation,2020-07-03,6_to_17,7.0,568
E92000001,England,nation,2020-07-03,85+,1721.0,24204
E92000001,England,nation,2020-07-03,65_to_84,504.8,45724
E92000001,England,nation,2020-07-02,18_to_64,101.6,34531
E92000001,England,nation,2020-07-02,0_to_5,15.8,620
E92000001,England,nation,2020-07-02,6_to_17,6.9,567
E92000001,England,nation,2020-07-02,85+,1718.6,24170
E92000001,England,nation,2020-07-02,65_to_84,504.2,45666
E92000001,England,nation,2020-07-01,18_to_64,101.4,34478
E92000001,England,nation,2020-07-01,0_to_5,15.7,618
E92000001,England,nation,2020-07-01,6_to_17,6.9,564
E92000001,England,nation,2020-07-01,85+,1715.8,24131
E92000001,England,nation,2020-07-01,65_to_84,503.6,45614
E92000001,England,nation,2020-06-30,18_to_64,101.2,34416
E92000001,England,nation,2020-06-30,0_to_5,15.5,607
E92000001,England,nation,2020-06-30,6_to_17,6.8,559
E92000001,England,nation,2020-06-30,85+,1713.1,24093
E92000001,England,nation,2020-06-30,65_to_84,502.7,45534
E92000001,England,nation,2020-06-29,18_to_64,101.1,34355
E92000001,England,nation,2020-06-29,0_to_5,15.3,602
E92000001,England,nation,2020-06-29,6_to_17,6.8,559
E92000001,England,nation,2020-06-29,85+,1710.1,24051
E92000001,England,nation,2020-06-29,65_to_84,501.8,45454
E92000001,England,nation,2020-06-28,18_to_64,100.9,34300
E92000001,England,nation,2020-06-28,0_to_5,15.2,597
E92000001,England,nation,2020-06-28,6_to_17,6.8,558
E92000001,England,nation,2020-06-28,85+,1707.3,24012
E92000001,England,nation,2020-06-28,65_to_84,501.0,45382
E92000001,England,nation,2020-06-27,18_to_64,100.8,34249
E92000001,England,nation,2020-06-27,0_to_5,15.2,596
E92000001,England,nation,2020-06-27,6_to_17,6.8,556
E92000001,England,nation,2020-06-27,85+,1704.6,23974
E92000001,England,nation,2020-06-27,65_to_84,500.3,45319
E92000001,England,nation,2020-06-26,18_to_64,100.5,34177
E92000001,England,nation,2020-06-26,0_to_5,15.0,590
E92000001,England,nation,2020-06-26,6_to_17,6.8,555
E92000001,England,nation,2020-06-26,85+,1701.6,23931
E92000001,England,nation,2020-06-26,65_to_84,499.4,45232
E92000001,England,nation,2020-06-25,18_to_64,100.3,34090
E92000001,England,nation,2020-06-25,0_to_5,15.0,588
E92000001,England,nation,2020-06-25,6_to_17,6.8,554
E92000001,England,nation,2020-06-25,85+,1697.6,23875
E92000001,England,nation,2020-06-25,65_to_84,498.3,45130
E92000001,England,nation,2020-06-24,18_to_64,100.0,34007
E92000001,England,nation,2020-06-24,0_to_5,14.9,585
E92000001,England,nation,2020-06-24,6_to_17,6.7,550
E92000001,England,nation,2020-06-24,85+,1693.7,23820
E92000001,England,nation,2020-06-24,65_to_84,497.0,45019
E92000001,England,nation,2020-06-23,18_to_64,99.8,33921
E92000001,England,nation,2020-06-23,0_to_5,14.9,584
E92000001,England,nation,2020-06-23,6_to_17,6.7,546
E92000001,England,nation,2020-06-23,85+,1689.8,23766
E92000001,England,nation,2020-06-23,65_to_84,495.7,44902
E92000001,England,nation,2020-06-22,18_to_64,99.5,33824
E92000001,England,nation,2020-06-22,0_to_5,14.8,582
E92000001,England,nation,2020-06-22,6_to_17,6.6,540
E92000001,England,nation,2020-06-22,85+,1687.1,23728
E92000001,England,nation,2020-06-22,65_to_84,494.3,44770
E92000001,England,nation,2020-06-21,18_to_64,99.2,33716
E92000001,England,nation,2020-06-21,0_to_5,14.7,576
E92000001,England,nation,2020-06-21,6_to_17,6.5,533
E92000001,England,nation,2020-06-21,85+,1683.6,23679
E92000001,England,nation,2020-06-21,65_to_84,492.6,44622
E92000001,England,nation,2020-06-20,18_to_64,99.0,33644
E92000001,England,nation,2020-06-20,0_to_5,14.6,572
E92000001,England,nation,2020-06-20,6_to_17,6.5,533
E92000001,England,nation,2020-06-20,85+,1680.6,23636
E92000001,England,nation,2020-06-20,65_to_84,491.6,44526
E92000001,England,nation,2020-06-19,18_to_64,98.8,33593
E92000001,England,nation,2020-06-19,0_to_5,14.5,570
E92000001,England,nation,2020-06-19,6_to_17,6.5,531
E92000001,England,nation,2020-06-19,85+,1677.6,23594
E92000001,England,nation,2020-06-19,65_to_84,490.6,44439
E92000001,England,nation,2020-06-18,18_to_64,98.6,33507
E92000001,England,nation,2020-06-18,0_to_5,14.4,565
E92000001,England,nation,2020-06-18,6_to_17,6.5,530
E92000001,England,nation,2020-06-18,85+,1673.8,23540
E92000001,England,nation,2020-06-18,65_to_84,489.4,44332
E92000001,England,nation,2020-06-17,18_to_64,98.3,33407
E92000001,England,nation,2020-06-17,0_to_5,14.3,562
E92000001,England,nation,2020-06-17,6_to_17,6.5,528
E92000001,England,nation,2020-06-17,85+,1668.9,23471
E92000001,England,nation,2020-06-17,65_to_84,487.9,44194
E92000001,England,nation,2020-06-16,18_to_64,97.9,33289
E92000001,England,nation,2020-06-16,0_to_5,14.2,559
E92000001,England,nation,2020-06-16,6_to_17,6.4,523
E92000001,England,nation,2020-06-16,85+,1664.5,23410
E92000001,England,nation,2020-06-16,65_to_84,486.3,44047
E92000001,England,nation,2020-06-15,18_to_64,97.6,33184
E92000001,England,nation,2020-06-15,0_to_5,14.2,557
E92000001,England,nation,2020-06-15,6_to_17,6.4,521
E92000001,England,nation,2020-06-15,85+,1659.0,23333
E92000001,England,nation,2020-06-15,65_to_84,484.4,43879
E92000001,England,nation,2020-06-14,18_to_64,97.3,33061
E92000001,England,nation,2020-06-14,0_to_5,14.1,554
E92000001,England,nation,2020-06-14,6_to_17,6.4,519
E92000001,England,nation,2020-06-14,85+,1653.8,23259
E92000001,England,nation,2020-06-14,65_to_84,482.6,43716
E92000001,England,nation,2020-06-13,18_to_64,97.0,32971
E92000001,England,nation,2020-06-13,0_to_5,14.1,554
E92000001,England,nation,2020-06-13,6_to_17,6.3,517
E92000001,England,nation,2020-06-13,85+,1648.0,23177
E92000001,England,nation,2020-06-13,65_to_84,481.2,43584
E92000001,England,nation,2020-06-12,18_to_64,96.7,32883
E92000001,England,nation,2020-06-12,0_to_5,14.0,550
E92000001,England,nation,2020-06-12,6_to_17,6.3,515
E92000001,England,nation,2020-06-12,85+,1644.0,23122
E92000001,England,nation,2020-06-12,65_to_84,479.9,43468
E92000001,England,nation,2020-06-11,18_to_64,96.5,32797
E92000001,England,nation,2020-06-11,0_to_5,14.0,549
E92000001,England,nation,2020-06-11,6_to_17,6.2,508
E92000001,England,nation,2020-06-11,85+,1638.3,23041
E92000001,England,nation,2020-06-11,65_to_84,478.5,43345
E92000001,England,nation,2020-06-10,18_to_64,96.2,32689
E92000001,England,nation,2020-06-10,0_to_5,13.9,548
E92000001,England,nation,2020-06-10,6_to_17,6.2,507
E92000001,England,nation,2020-06-10,85+,1632.9,22965
E92000001,England,nation,2020-06-10,65_to_84,477.0,43201
E92000001,England,nation,2020-06-09,18_to_64,95.8,32575
E92000001,England,nation,2020-06-09,0_to_5,13.9,546
E92000001,England,nation,2020-06-09,6_to_17,6.2,506
E92000001,England,nation,2020-06-09,85+,1625.6,22862
E92000001,England,nation,2020-06-09,65_to_84,474.9,43019
E92000001,England,nation,2020-06-08,18_to_64,95.4,32446
E92000001,England,nation,2020-06-08,0_to_5,13.8,543
E92000001,England,nation,2020-06-08,6_to_17,6.1,502
E92000001,England,nation,2020-06-08,85+,1618.9,22769
E92000001,England,nation,2020-06-08,65_to_84,473.1,42851
E92000001,England,nation,2020-06-07,18_to_64,95.1,32336
E92000001,England,nation,2020-06-07,0_to_5,13.8,541
E92000001,England,nation,2020-06-07,6_to_17,6.1,497
E92000001,England,nation,2020-06-07,85+,1612.8,22683
E92000001,England,nation,2020-06-07,65_to_84,471.5,42706
E92000001,England,nation,2020-06-06,18_to_64,94.8,32236
E92000001,England,nation,2020-06-06,0_to_5,13.7,540
E92000001,England,nation,2020-06-06,6_to_17,6.0,493
E92000001,England,nation,2020-06-06,85+,1606.8,22598
E92000001,England,nation,2020-06-06,65_to_84,470.0,42573
E92000001,England,nation,2020-06-05,18_to_64,94.6,32148
E92000001,England,nation,2020-06-05,0_to_5,13.7,538
E92000001,England,nation,2020-06-05,6_to_17,6.0,490
E92000001,England,nation,2020-06-05,85+,1600.5,22509
E92000001,England,nation,2020-06-05,65_to_84,468.7,42449
E92000001,England,nation,2020-06-04,18_to_64,94.2,32017
E92000001,England,nation,2020-06-04,0_to_5,13.6,535
E92000001,England,nation,2020-06-04,6_to_17,5.9,484
E92000001,England,nation,2020-06-04,85+,1594.3,22422
