areaCode,areaName,areaType,date,cumCasesBySpecimenDate,cumCasesBySpecimenDateRate,newCasesBySpecimenDate
S92000003,Scotland,nation,2020-04-12,6382,116.8,220
S92000003,Scotland,nation,2020-04-11,6162,112.7,185
S92000003,Scotland,nation,2020-04-10,5977,109.3,329
S92000003,Scotland,nation,2020-04-09,5648,103.3,304
S92000003,Scotland,nation,2020-04-08,5344,97.8,343
S92000003,Scotland,nation,2020-04-07,5001,91.5,352
S92000003,Scotland,nation,2020-04-06,4649,85.1,404
S92000003,Scotland,nation,2020-04-05,4245,77.7,225
S92000003,Scotland,nation,2020-04-04,4020,73.5,261
S92000003,Scotland,nation,2020-04-03,3759,68.8,381
S92000003,Scotland,nation,2020-04-02,3378,61.8,351
S92000003,Scotland,nation,2020-04-01,3027,55.4,389
S92000003,Scotland,nation,2020-03-31,2638,48.3,341
S92000003,Scotland,nation,2020-03-30,2297,42.0,317
S92000003,Scotland,nation,2020-03-29,1980,36.2,197
S92000003,Scotland,nation,2020-03-28,1783,32.6,204
S92000003,Scotland,nation,2020-03-27,1579,28.9,274
S92000003,Scotland,nation,2020-03-26,1305,23.9,223
S92000003,Scotland,nation,2020-03-25,1082,19.8,188
S92000003,Scotland,nation,2020-03-24,894,16.4,167
S92000003,Scotland,nation,2020-03-23,727,13.3,138
S92000003,Scotland,nation,2020-03-22,589,10.8,74
S92000003,Scotland,nation,2020-03-21,515,9.4,67
S92000003,Scotland,nation,2020-03-20,448,8.2,84
S92000003,Scotland,nation,2020-03-19,364,6.7,50
S92000003,Scotland,nation,2020-03-18,314,5.7,41
S92000003,Scotland,nation,2020-03-17,273,5.0,43
S92000003,Scotland,nation,2020-03-16,230,4.2,21
S92000003,Scotland,nation,2020-03-15,209,3.8,12
S92000003,Scotland,nation,2020-03-14,197,3.6,19
S92000003,Scotland,nation,2020-03-13,178,3.3,48
S92000003,Scotland,nation,2020-03-12,130,2.4,38
S92000003,Scotland,nation,2020-03-11,92,1.7,25
S92000003,Scotland,nation,2020-03-10,67,1.2,21
S92000003,Scotland,nation,2020-03-09,46,0.8,16
S92000003,Scotland,nation,2020-03-08,30,0.5,3
S92000003,Scotland,nation,2020-03-07,27,0.5,6
S92000003,Scotland,nation,2020-03-06,21,0.4,6
S92000003,Scotland,nation,2020-03-05,15,0.3,2
S92000003,Scotland,nation,2020-03-04,13,0.2,6
S92000003,Scotland,nation,2020-03-03,7,0.1,3
S92000003,Scotland,nation,2020-03-02,4,0.1,1
S92000003,Scotland,nation,2020-03-01,3,0.1,2
S92000003,Scotland,nation,2020-02-29,1,,0
S92000003,Scotland,nation,2020-02-28,1,,1
W92000004,Wales,nation,2022-02-27,813038,25651.2,
W92000004,Wales,nation,2022-02-26,813038,25651.2,
W92000004,Wales,nation,2022-02-25,813038,25651.2,1
W92000004,Wales,nation,2022-02-24,813037,25651.2,91
W92000004,Wales,nation,2022-02-23,812946,25648.3,839
W92000004,Wales,nation,2022-02-22,812107,25621.9,819
W92000004,Wales,nation,2022-02-21,811288,25596.0,1087
W92000004,Wales,nation,2022-02-20,810201,25561.7,558
W92000004,Wales,nation,2022-02-19,809643,25544.1,842
W92000004,Wales,nation,2022-02-18,808801,25517.6,278
W92000004,Wales,nation,2022-02-17,808523,25508.8,968
W92000004,Wales,nation,2022-02-16,807555,25478.2,1251
W92000004,Wales,nation,2022-02-15,806304,25438.8,1272
W92000004,Wales,nation,2022-02-14,805032,25398.6,1449
W92000004,Wales,nation,2022-02-13,803583,25352.9,855
W92000004,Wales,nation,2022-02-12,802728,25326.0,792
W92000004,Wales,nation,2022-02-11,801936,25301.0,1071
W92000004,Wales,nation,2022-02-10,800865,25267.2,1380
W92000004,Wales,nation,2022-02-09,799485,25223.6,1649
W92000004,Wales,nation,2022-02-08,797836,25171.6,1814
W92000004,Wales,nation,2022-02-07,796022,25114.4,1953
W92000004,Wales,nation,2022-02-06,794069,25052.8,1147
W92000004,Wales,nation,2022-02-05,792922,25016.6,1095
W92000004,Wales,nation,2022-02-04,791827,24982.0,1661
W92000004,Wales,nation,2022-02-03,790166,24929.6,1770
W92000004,Wales,nation,2022-02-02,788396,24873.8,2276
W92000004,Wales,nation,2022-02-01,786120,24802.0,2457
W92000004,Wales,nation,2022-01-31,783663,24724.5,2648
W92000004,Wales,nation,2022-01-30,781015,24640.9,1544
W92000004,Wales,nation,2022-01-29,779471,24592.2,1582
W92000004,Wales,nation,2022-01-28,777889,24542.3,2140
W92000004,Wales,nation,2022-01-27,775749,24474.8,2461
W92000004,Wales,nation,2022-01-26,773288,24397.1,2926
W92000004,Wales,nation,2022-01-25,770362,24304.8,2944
W92000004,Wales,nation,2022-01-24,767418,24211.9,3300
W92000004,Wales,nation,2022-01-23,764118,24107.8,2047
W92000004,Wales,nation,2022-01-22,762071,24043.2,1867
W92000004,Wales,nation,2022-01-21,760204,23984.3,2351
W92000004,Wales,nation,2022-01-20,757853,23910.2,2437
W92000004,Wales,nation,2022-01-19,755416,23833.3,2484
W92000004,Wales,nation,2022-01-18,752932,23754.9,2603
W92000004,Wales,nation,2022-01-17,750329,23672.8,2958
W92000004,Wales,nation,2022-01-16,747371,23579.5,1783
W92000004,Wales,nation,2022-01-15,745588,23523.2,1483
W92000004,Wales,nation,2022-01-14,744105,23476.4,1945
W92000004,Wales,nation,2022-01-13,742160,23415.0,2100
W92000004,Wales,nation,2022-01-12,740060,23348.8,2406
W92000004,Wales,nation,2022-01-11,737654,23272.9,2733
W92000004,Wales,nation,2022-01-10,734921,23186.7,3596
W92000004,Wales,nation,2022-01-09,731325,23073.2,2180
W92000004,Wales,nation,2022-01-08,729145,23004.4,2465
W92000004,Wales,nation,2022-01-07,726680,22926.7,3367
W92000004,Wales,nation,2022-01-06,723313,22820.4,4714
W92000004,Wales,nation,2022-01-05,718599,22671.7,8991
W92000004,Wales,nation,2022-01-04,709608,22388.0,12452
W92000004,Wales,nation,2022-01-03,697156,21995.2,9457
W92000004,Wales,nation,2022-01-02,687699,21696.8,9855
W92000004,Wales,nation,2022-01-01,677844,21385.9,6224
W92000004,Wales,nation,2021-12-31,671620,21189.5,9912
W92000004,Wales,nation,2021-12-30,661708,20876.8,12832
W92000004,Wales,nation,2021-12-29,648876,20471.9,16252
W92000004,Wales,nation,2021-12-28,632624,19959.2,13615
W92000004,Wales,nation,2021-12-27,619009,19529.6,13373
W92000004,Wales,nation,2021-12-26,605636,19107.7,6364
W92000004,Wales,nation,2021-12-25,599272,18906.9,2940
W92000004,Wales,nation,2021-12-24,596332,18814.2,5718
W92000004,Wales,nation,2021-12-23,590614,18633.8,6878
W92000004,Wales,nation,2021-12-22,583736,18416.8,7134
W92000004,Wales,nation,2021-12-21,576602,18191.7,6326
W92000004,Wales,nation,2021-12-20,570276,17992.1,5027
W92000004,Wales,nation,2021-12-19,565249,17833.5,2928
W92000004,Wales,nation,2021-12-18,562321,17741.1,2772
W92000004,Wales,nation,2021-12-17,559549,17653.7,3216
W92000004,Wales,nation,2021-12-16,556333,17552.2,3596
W92000004,Wales,nation,2021-12-15,552737,17438.8,3606
W92000004,Wales,nation,2021-12-14,549131,17325.0,3302
W92000004,Wales,nation,2021-12-13,545829,17220.8,2937
W92000004,Wales,nation,2021-12-12,542892,17128.2,1943
W92000004,Wales,nation,2021-12-11,540949,17066.9,1896
W92000004,Wales,nation,2021-12-10,539053,17007.0,2207
W92000004,Wales,nation,2021-12-09,536846,16937.4,2424
W92000004,Wales,nation,2021-12-08,534422,16860.9,2663
W92000004,Wales,nation,2021-12-07,531759,16776.9,2500
W92000004,Wales,nation,2021-12-06,529259,16698.0,2816
W92000004,Wales,nation,2021-12-05,526443,16609.2,1957
W92000004,Wales,nation,2021-12-04,524486,16547.5,1855
W92000004,Wales,nation,2021-12-03,522631,16488.9,2198
W92000004,Wales,nation,2021-12-02,520433,16419.6,2416
W92000004,Wales,nation,2021-12-01,518017,16343.4,2438
W92000004,Wales,nation,2021-11-30,515579,16266.4,2761
W92000004,Wales,nation,2021-11-29,512818,16179.3,2854
W92000004,Wales,nation,2021-11-28,509964,16089.3,2009
W92000004,Wales,nation,2021-11-27,507955,16025.9,1591
W92000004,Wales,nation,2021-11-26,506364,15975.7,1985
W92000004,Wales,nation,2021-11-25,504379,15913.1,2152
W92000004,Wales,nation,2021-11-24,502227,15845.2,2323
W92000004,Wales,nation,2021-11-23,499904,15771.9,2490
W92000004,Wales,nation,2021-11-22,497414,15693.3,2810
W92000004,Wales,nation,2021-11-21,494604,15604.7,1832
W92000004,Wales,nation,2021-11-20,492772,15546.9,1816
W92000004,Wales,nation,2021-11-19,490956,15489.6,1976
W92000004,Wales,nation,2021-11-18,488980,15427.3,2268
W92000004,Wales,nation,2021-11-17,486712,15355.7,2551
W92000004,Wales,nation,2021-11-16,484161,15275.2,2708
W92000004,Wales,nation,2021-11-15,481453,15189.8,2914
W92000004,Wales,nation,2021-11-14,478539,15097.8,2023
W92000004,Wales,nation,2021-11-13,476516,15034.0,1848
W92000004,Wales,nation,2021-11-12,474668,14975.7,2246
W92000004,Wales,nation,2021-11-11,472422,14904.8,2575
W92000004,Wales,nation,2021-11-10,469847,14823.6,2764
W92000004,Wales,nation,2021-11-09,467083,14736.4,2490
W92000004,Wales,nation,2021-11-08,464593,14657.8,2624
W92000004,Wales,nation,2021-11-07,461969,14575.1,1799
W92000004,Wales,nation,2021-11-06,460170,14518.3,1629
W92000004,Wales,nation,2021-11-05,458541,14466.9,2029
W92000004,Wales,nation,2021-11-04,456512,14402.9,2276
W92000004,Wales,nation,2021-11-03,454236,14331.1,2401
W92000004,Wales,nation,2021-11-02,451835,14255.3,2463
W92000004,Wales,nation,2021-11-01,449372,14177.6,2874
W92000004,Wales,nation,2021-10-31,446498,14087.0,2203
W92000004,Wales,nation,2021-10-30,444295,14017.4,2319
W92000004,Wales,nation,2021-10-29,441976,13944.3,2617
W92000004,Wales,nation,2021-10-28,439359,13861.7,2614
W92000004,Wales,nation,2021-10-27,436745,13779.2,2594
W92000004,Wales,nation,2021-10-26,434151,13697.4,2639
W92000004,Wales,nation,2021-10-25,431512,13614.1,2961
W92000004,Wales,nation,2021-10-24,428551,13520.7,2286
W92000004,Wales,nation,2021-10-23,426265,13448.6,2193
W92000004,Wales,nation,2021-10-22,424072,13379.4,2643
W92000004,Wales,nation,2021-10-21,421429,13296.0,2921
W92000004,Wales,nation,2021-10-20,418508,13203.9,3439
W92000004,Wales,nation,2021-10-19,415069,13095.4,3656
W92000004,Wales,nation,2021-10-18,411413,12980.0,4054
W92000004,Wales,nation,2021-10-17,407359,12852.1,2870
W92000004,Wales,nation,2021-10-16,404489,12761.6,3077
W92000004,Wales,nation,2021-10-15,401412,12664.5,3249
W92000004,Wales,nation,2021-10-14,398163,12562.0,3210
W92000004,Wales,nation,2021-10-13,394953,12460.7,3273
W92000004,Wales,nation,2021-10-12,391680,12357.4,3382
W92000004,Wales,nation,2021-10-11,388298,12250.7,2907
W92000004,Wales,nation,2021-10-10,385391,12159.0,1873
W92000004,Wales,nation,2021-10-09,383518,12099.9,1972
W92000004,Wales,nation,2021-10-08,381546,12037.7,2223
W92000004,Wales,nation,2021-10-07,379323,11967.6,2418
W92000004,Wales,nation,2021-10-06,376905,11891.3,2782
W92000004,Wales,nation,2021-10-05,374123,11803.5,2870
W92000004,Wales,nation,2021-10-04,371253,11713.0,2962
W92000004,Wales,nation,2021-10-03,368291,11619.5,1883
W92000004,Wales,nation,2021-10-02,366408,11560.1,1671
W92000004,Wales,nation,2021-10-01,364737,11507.4,1961
W92000004,Wales,nation,2021-09-30,362776,11445.5,2397
W92000004,Wales,nation,2021-09-29,360379,11369.9,2377
W92000004,Wales,nation,2021-09-28,358002,11294.9,2598
W92000004,Wales,nation,2021-09-27,355404,11212.9,2531
W92000004,Wales,nation,2021-09-26,352873,11133.1,2205
W92000004,Wales,nation,2021-09-25,350668,11063.5,2215
W92000004,Wales,nation,2021-09-24,348453,10993.6,2701
W92000004,Wales,nation,2021-09-23,345752,10908.4,3310
W92000004,Wales,nation,2021-09-22,342442,10804.0,3349
W92000004,Wales,nation,2021-09-21,339093,10698.3,3286
W92000004,Wales,nation,2021-09-20,335807,10594.7,3374
W92000004,Wales,nation,2021-09-19,332433,10488.2,2556
W92000004,Wales,nation,2021-09-18,329877,10407.6,2238
W92000004,Wales,nation,2021-09-17,327639,10337.0,2739
W92000004,Wales,nation,2021-09-16,324900,10250.6,2751
W92000004,Wales,nation,2021-09-15,322149,10163.8,2729
W92000004,Wales,nation,2021-09-14,319420,10077.7,2726
W92000004,Wales,nation,2021-09-13,316694,9991.7,2986
W92000004,Wales,nation,2021-09-12,313708,9897.4,1887
W92000004,Wales,nation,2021-09-11,311821,9837.9,1944
W92000004,Wales,nation,2021-09-10,309877,9776.6,1998
W92000004,Wales,nation,2021-09-09,307879,9713.5,2319
W92000004,Wales,nation,2021-09-08,305560,9640.4,2382
W92000004,Wales,nation,2021-09-07,303178,9565.2,2293
W92000004,Wales,nation,2021-09-06,300885,9492.9,2902
W92000004,Wales,nation,2021-09-05,297983,9401.3,2108
W92000004,Wales,nation,2021-09-04,295875,9334.8,2160
W92000004,Wales,nation,2021-09-03,293715,9266.7,2347
W92000004,Wales,nation,2021-09-02,291368,9192.6,2681
W92000004,Wales,nation,2021-09-01,288687,9108.0,2870
W92000004,Wales,nation,2021-08-31,285817,9017.5,3022
W92000004,Wales,nation,2021-08-30,282795,8922.1,1788
W92000004,Wales,nation,2021-08-29,281007,8865.7,1438
W92000004,Wales,nation,2021-08-28,279569,8820.4,1516
W92000004,Wales,nation,2021-08-27,278053,8772.5,1959
W92000004,Wales,nation,2021-08-26,276094,8710.7,2187
W92000004,Wales,nation,2021-08-25,273907,8641.7,2271
W92000004,Wales,nation,2021-08-24,271636,8570.1,2156
W92000004,Wales,nation,2021-08-23,269480,8502.1,2049
W92000004,Wales,nation,2021-08-22,267431,8437.4,1379
W92000004,Wales,nation,2021-08-21,266052,8393.9,1390
W92000004,Wales,nation,2021-08-20,264662,8350.0,1619
W92000004,Wales,nation,2021-08-19,263043,8299.0,1858
W92000004,Wales,nation,2021-08-18,261185,8240.4,1782
W92000004,Wales,nation,2021-08-17,259403,8184.1,1736
W92000004,Wales,nation,2021-08-16,257667,8129.4,1585
W92000004,Wales,nation,2021-08-15,256082,8079.4,1098
W92000004,Wales,nation,2021-08-14,254984,8044.7,1003
W92000004,Wales,nation,2021-08-13,253981,8013.1,1122
W92000004,Wales,nation,2021-08-12,252859,7977.7,1259
W92000004,Wales,nation,2021-08-11,251600,7937.9,1184
W92000004,Wales,nation,2021-08-10,250416,7900.6,946
W92000004,Wales,nation,2021-08-09,249470,7870.7,957
W92000004,Wales,nation,2021-08-08,248513,7840.6,585
W92000004,Wales,nation,2021-08-07,247928,7822.1,580
W92000004,Wales,nation,2021-08-06,247348,7803.8,707
W92000004,Wales,nation,2021-08-05,246641,7781.5,788
W92000004,Wales,nation,2021-08-04,245853,7756.6,796
W92000004,Wales,nation,2021-08-03,245057,7731.5,736
W92000004,Wales,nation,2021-08-02,244321,7708.3,760
W92000004,Wales,nation,2021-08-01,243561,7684.3,525
W92000004,Wales,nation,2021-07-31,243036,7667.8,478
W92000004,Wales,nation,2021-07-30,242558,7652.7,587
W92000004,Wales,nation,2021-07-29,241971,7634.2,689
W92000004,Wales,nation,2021-07-28,241282,7612.4,688
W92000004,Wales,nation,2021-07-27,240594,7590.7,768
W92000004,Wales,nation,2021-07-26,239826,7566.5,755
W92000004,Wales,nation,2021-07-25,239071,7542.7,530
W92000004,Wales,nation,2021-07-24,238541,7525.9,582
W92000004,Wales,nation,2021-07-23,237959,7507.6,684
W92000004,Wales,nation,2021-07-22,237275,7486.0,823
W92000004,Wales,nation,2021-07-21,236452,7460.0,802
W92000004,Wales,nation,2021-07-20,235650,7434.7,821
W92000004,Wales,nation,2021-07-19,234829,7408.8,910
W92000004,Wales,nation,2021-07-18,233919,7380.1,619
W92000004,Wales,nation,2021-07-17,233300,7360.6,640
W92000004,Wales,nation,2021-07-16,232660,7340.4,956
W92000004,Wales,nation,2021-07-15,231704,7310.2,1119
W92000004,Wales,nation,2021-07-14,230585,7274.9,1206
W92000004,Wales,nation,2021-07-13,229379,7236.9,1099
W92000004,Wales,nation,2021-07-12,228280,7202.2,916
W92000004,Wales,nation,2021-07-11,227364,7173.3,713
W92000004,Wales,nation,2021-07-10,226651,7150.8,656
W92000004,Wales,nation,2021-07-09,225995,7130.1,778
W92000004,Wales,nation,2021-07-08,225217,7105.6,713
W92000004,Wales,nation,2021-07-07,224504,7083.1,778
W92000004,Wales,nation,2021-07-06,223726,7058.5,771
W92000004,Wales,nation,2021-07-05,222955,7034.2,777
W92000004,Wales,nation,2021-07-04,222178,7009.7,555
W92000004,Wales,nation,2021-07-03,221623,6992.2,497
W92000004,Wales,nation,2021-07-02,221126,6976.5,575
W92000004,Wales,nation,2021-07-01,220551,6958.4,645
W92000004,Wales,nation,2021-06-30,219906,6938.0,597
W92000004,Wales,nation,2021-06-29,219309,6919.2,637
W92000004,Wales,nation,2021-06-28,218672,6899.1,628
W92000004,Wales,nation,2021-06-27,218044,6879.3,364
W92000004,Wales,nation,2021-06-26,217680,6867.8,252
W92000004,Wales,nation,2021-06-25,217428,6859.8,377
W92000004,Wales,nation,2021-06-24,217051,6847.9,413
W92000004,Wales,nation,2021-06-23,216638,6834.9,413
W92000004,Wales,nation,2021-06-22,216225,6821.9,344
W92000004,Wales,nation,2021-06-21,215881,6811.0,342
W92000004,Wales,nation,2021-06-20,215539,6800.2,187
W92000004,Wales,nation,2021-06-19,215352,6794.3,195
W92000004,Wales,nation,2021-06-18,215157,6788.2,174
W92000004,Wales,nation,2021-06-17,214983,6782.7,222
W92000004,Wales,nation,2021-06-16,214761,6775.7,189
W92000004,Wales,nation,2021-06-15,214572,6769.7,194
W92000004,Wales,nation,2021-06-14,214378,6763.6,159
W92000004,Wales,nation,2021-06-13,214219,6758.6,112
W92000004,Wales,nation,2021-06-12,214107,6755.0,85
W92000004,Wales,nation,2021-06-11,214022,6752.4,130
W92000004,Wales,nation,2021-06-10,213892,6748.3,141
W92000004,Wales,nation,2021-06-09,213751,6743.8,129
W92000004,Wales,nation,2021-06-08,213622,6739.7,117
W92000004,Wales,nation,2021-06-07,213505,6736.1,105
W92000004,Wales,nation,2021-06-06,213400,6732.7,68
W92000004,Wales,nation,2021-06-05,213332,6730.6,77
W92000004,Wales,nation,2021-06-04,213255,6728.2,65
W92000004,Wales,nation,2021-06-03,213190,6726.1,88
W92000004,Wales,nation,2021-06-02,213102,6723.3,81
W92000004,Wales,nation,2021-06-01,213021,6720.8,59
W92000004,Wales,nation,2021-05-31,212962,6718.9,60
W92000004,Wales,nation,2021-05-30,212902,6717.0,39
W92000004,Wales,nation,2021-05-29,212863,6715.8,41
W92000004,Wales,nation,2021-05-28,212822,6714.5,40
W92000004,Wales,nation,2021-05-27,212782,6713.2,37
W92000004,Wales,nation,2021-05-26,212745,6712.1,30
W92000004,Wales,nation,2021-05-25,212715,6711.1,50
W92000004,Wales,nation,2021-05-24,212665,6709.6,41
W92000004,Wales,nation,2021-05-23,212624,6708.3,21
W92000004,Wales,nation,2021-05-22,212603,6707.6,35
W92000004,Wales,nation,2021-05-21,212568,6706.5,52
W92000004,Wales,nation,2021-05-20,212516,6704.9,47
W92000004,Wales,nation,2021-05-19,212469,6703.4,35
W92000004,Wales,nation,2021-05-18,212434,6702.3,45
W92000004,Wales,nation,2021-05-17,212389,6700.8,51
W92000004,Wales,nation,2021-05-16,212338,6699.2,31
W92000004,Wales,nation,2021-05-15,212307,6698.3,28
W92000004,Wales,nation,2021-05-14,212279,6697.4,44
W92000004,Wales,nation,2021-05-13,212235,6696.0,39
W92000004,Wales,nation,2021-05-12,212196,6694.8,62
W92000004,Wales,nation,2021-05-11,212134,6692.8,66
W92000004,Wales,nation,2021-05-10,212068,6690.7,42
W92000004,Wales,nation,2021-05-09,212026,6689.4,30
W92000004,Wales,nation,2021-05-08,211996,6688.4,31
W92000004,Wales,nation,2021-05-07,211965,6687.5,39
W92000004,Wales,nation,2021-05-06,211926,6686.2,65
W92000004,Wales,nation,2021-05-05,211861,6684.2,45
W92000004,Wales,nation,2021-05-04,211816,6682.8,56
W92000004,Wales,nation,2021-05-03,211760,6681.0,27
W92000004,Wales,nation,2021-05-02,211733,6680.1,27
W92000004,Wales,nation,2021-05-01,211706,6679.3,32
W92000004,Wales,nation,2021-04-30,211674,6678.3,34
W92000004,Wales,nation,2021-04-29,211640,6677.2,55
W92000004,Wales,nation,2021-04-28,211585,6675.5,48
W92000004,Wales,nation,2021-04-27,211537,6674.0,60
W92000004,Wales,nation,2021-04-26,211477,6672.1,56
W92000004,Wales,nation,2021-04-25,211421,6670.3,32
W92000004,Wales,nation,2021-04-24,211389,6669.3,38
W92000004,Wales,nation,2021-04-23,211351,6668.1,48
W92000004,Wales,nation,2021-04-22,211303,6666.6,55
W92000004,Wales,nation,2021-04-21,211248,6664.8,63
W92000004,Wales,nation,2021-04-20,211185,6662.9,57
W92000004,Wales,nation,2021-04-19,211128,6661.1,74
W92000004,Wales,nation,2021-04-18,211054,6658.7,54
W92000004,Wales,nation,2021-04-17,211000,6657.0,38
W92000004,Wales,nation,2021-04-16,210962,6655.8,60
W92000004,Wales,nation,2021-04-15,210902,6653.9,70
W92000004,Wales,nation,2021-04-14,210832,6651.7,80
W92000004,Wales,nation,2021-04-13,210752,6649.2,64
